id,SalePrice
1000,68163.3822146666
1001,116370.15251369792
1002,239438.53668025695
1003,117149.04892994318
1004,175766.5702554301
1005,149479.03119370874
1006,161782.7199688876
1007,122194.21805791048
1008,269250.3048284383
1009,116027.38646741473
1010,129007.31495728933
1011,107238.53614427036
1012,181460.88972656915
1013,120065.40156219581
1014,152509.82541846923
1015,176214.65851883197
1016,244956.79371890423
1017,147665.04159512414
1018,120954.96221300556
1019,212778.27268679597
1020,158014.65965313613
1021,258881.64382617795
1022,110872.45431660512
1023,196664.35730188034
1024,264938.72281951725
1025,101523.7084211373
1026,128688.39843667232
1027,295862.5123426456
1028,151681.55558677219
1029,94902.11161383372
1030,117321.9485418133
1031,273619.3502266503
1032,278100.06154576363
1033,220675.89286603738
1034,131696.4137099383
1035,87430.07460600605
1036,267559.1764820464
1037,201875.77475923306
1038,100936.10821504942
1039,102508.84671678834
1040,148011.80084897636
1041,150987.7560629167
1042,234921.50760885215
1043,250280.38655997836
1044,259364.99836273555
1045,115093.32095796235
1046,529848.01122335
1047,126064.53897309744
1048,128700.67450570942
1049,127889.84680536622
1050,185487.5176842552
1051,168851.9172721863
1052,157946.86795541196
1053,136697.96832878518
1054,256177.284324821
1055,237510.46142977654
1056,235702.05467050965
1057,185076.08778503633
1058,319632.70839892724
1059,211445.0503358892
1060,237630.0463811818
1061,94283.55177049302
1062,131363.8788297583
1063,143116.08108466622
1064,191628.75698643617
1065,283853.47022954735
1066,121616.36552001639
1067,191869.64380009542
1068,235880.0120940646
1069,153737.19287111826
1070,123516.78318107004
1071,142504.80248776768
1072,167821.8639125645
1073,120387.2362680943
1074,172689.9037343361
1075,162687.1853564385
1076,230569.771919444
1077,178815.32969089734
1078,137454.9695804232
1079,114217.96568692531
1080,174718.51694215418
1081,109388.52203984508
1082,175985.17417623076
1083,133381.79881881847
1084,145734.84513318352
1085,146291.95982793142
1086,116961.12450963311
1087,253018.2551120946
1088,134102.74774457217
1089,161564.94675790422
1090,99934.62632164123
1091,154364.0773243369
1092,158904.7319618591
1093,196003.03369396416
1094,120920.83127967629
1095,151416.6160543268
1096,98564.5083819931
1097,133068.2365923461
1098,119430.76528268715
1099,243662.64625086082
1100,88441.65546254041
1101,111066.18647300608
1102,113553.86769313469
1103,174019.84695203838
1104,104396.28148261632
1105,240958.83308088526
1106,182643.1135050899
1107,201296.9129579956
1108,176479.17578837284
1109,363191.0946162001
1110,167523.1711241978
1111,236207.5386560033
1112,110219.14502555857
1113,123161.14646929331
1114,132823.21826570545
1115,314425.62826194725
1116,184000.82367615623
1117,117412.45372593659
1118,150116.70757872993
1119,123272.13711401049
1120,91094.82683224633
1121,247674.86492017866
1122,81565.80193204954
1123,82026.2038799277
1124,164826.818057717
1125,140511.29302156993
1126,176075.76803409084
1127,173667.7914721904
1128,189640.31622455092
1129,145710.52987081275
1130,251807.64810664687
1131,120548.69635511865
1132,166702.07871821776
1133,204293.2628011841
1134,155702.92238728033
1135,93078.5864893235
1136,130593.19114204783
1137,103010.77333708352
1138,248278.82649898605
1139,150280.11332949364
1140,125718.27022394359
1141,250405.6264524015
1142,432466.9772836169
1143,127346.36173500417
1144,105153.92543297319
1145,120432.27357346317
1146,223791.11082065987
1147,156316.58746143748
1148,91829.67225069331
1149,132534.99970373066
1150,119797.49069588992
1151,164616.6177094271
1152,243992.28743669612
1153,81682.6289376164
1154,252362.048283732
1155,269593.6876440668
1156,200414.83186250064
1157,220037.93727921636
1158,222739.7274181081
1159,183793.37835320088
1160,158467.34079430523
1161,173762.46109009426
1162,122111.32724604825
1163,183829.20836859505
1164,229566.07307669433
1165,243098.86556387288
1166,205101.84676806073
1167,202078.35130805772
1168,180752.4373755481
1169,368509.1638181364
1170,189410.2591974613
1171,156409.07086045953
1172,161520.84739297206
1173,240268.0147743251
1174,196860.04749036845
1175,278278.35743824416
1176,136216.3518151526
1177,124497.20465425037
1178,126620.7726621555
1179,72257.3954715477
1180,186329.2828007489
1181,315388.5733571362
1182,383068.7401708226
1183,147152.1050389576
1184,198275.48800735464
1185,103152.87069618801
1186,152765.30922129334
1187,206859.04743998178
1188,169486.3465868196
1189,177101.24909291428
1190,221472.28986809106
1191,169435.33148287496
1192,118797.23232352578
1193,134983.90215065877
1194,159889.6097323149
1195,185464.78541154866
1196,222701.23858844955
1197,104523.02814695972
1198,156450.20827158348
1199,109648.35276831035
1200,99999.15738293606
1201,187890.16123029627
1202,106816.96896672597
1203,168734.53739599726
1204,148438.35277989815
1205,284378.1331304295
1206,114606.99701650198
1207,223132.24884663522
1208,132634.93559986458
1209,379470.7003222156
1210,203200.24915961528
1211,180488.41477648297
1212,87834.70800711887
1213,115689.20590472245
1214,117209.30177349968
1215,112045.44371561367
1216,112017.60395702547
1217,368077.1741712713
1218,88180.21276110744
1219,113393.8444936159
1220,105087.38182925862
1221,114708.30252664443
1222,210070.58327193753
1223,174136.04297609252
1224,227519.57259533074
1225,143103.4711681154
1226,299386.3049700746
1227,153228.70328046315
1228,249620.44964310722
1229,132028.0731813862
1230,262951.855450291
1231,134057.88305282604
1232,88085.00586568686
1233,140627.65069854632
1234,133166.48961907628
1235,196836.44257074205
1236,220290.606024246
1237,160928.28838085325
1238,112493.7461622167
1239,191133.35867662658
1240,203164.9874584538
1241,254916.73560796073
1242,261440.2889916088
1243,412257.00280111935
1244,165384.10055663297
